State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Andhra Pradesh,Anantapur,Hindupur,Tamarind Fruit,Non A/c Flower,FAQ,04/04/25,5000,12500,7000
Andhra Pradesh,Anantapur,Kalyandurg,Tamarind Fruit,Non A/c Flower,FAQ,04/04/25,7000,12000,9000
Andhra Pradesh,Chittor,Kalikiri,Tomato,Hybrid,FAQ,04/04/25,950,1200,1100
Andhra Pradesh,Chittor,Palamaner,Green Chilli,Green Chilly,FAQ,04/04/25,2000,4000,3000
Andhra Pradesh,Cuddapah,Cuddapah,Turmeric,Bulb,FAQ,04/04/25,8165,12612,11412
Andhra Pradesh,East Godavari,Ravulapelem,Banana,Bhushavali(Pacha),Large,04/04/25,1900,2400,2200
Andhra Pradesh,Guntur,Duggirala,Turmeric,Bulb,FAQ,04/04/25,10225,12850,12811
Andhra Pradesh,Guntur,Guntur,Dry Chillies,Red New,FAQ,04/04/25,10000,13500,13300
Andhra Pradesh,Guntur,Tenali,Black Gram (Urd Beans)(Whole),Black Gram (Whole),Non-FAQ,04/04/25,7000,7200,7100
Andhra Pradesh,Kurnool,Adoni,Groundnut,Balli/Habbu,FAQ,04/04/25,3549,6403,6091
Andhra Pradesh,Kurnool,Kurnool,Ajwan,Other,FAQ,04/04/25,1611,21142,14899
Andhra Pradesh,Kurnool,Kurnool,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,04/04/25,5779,7309,7249
Andhra Pradesh,Kurnool,Kurnool,Foxtail Millet(Navane),Other,FAQ,04/04/25,1613,2559,2559
Andhra Pradesh,Nellore,Atmakur(SPS),Paddy(Dhan)(Common),MTU-1010,FAQ,04/04/25,2300,2400,2320
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,04/04/25,3520,4270,3895
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,04/04/25,2850,3090,2970
Assam,Barpeta,Barpeta Road,Bitter gourd,Bitter Gourd,Local,04/04/25,1800,2000,2000
Assam,Barpeta,Barpeta Road,Bottle gourd,Bottle Gourd,Local,04/04/25,1200.06,1333.4,1200.06
Assam,Barpeta,Barpeta Road,Green Chilli,Green Chilly,Local,04/04/25,1500,2000,1800
Assam,Cachar,Sonabarighat,Bhindi(Ladies Finger),Bhindi,Local,04/04/25,2300,2500,2400
Assam,Cachar,Sonabarighat,Tomato,Tomato,Local,04/04/25,1200,1300,1200
Assam,Darrang,Banglagarh,Bottle gourd,Bottle Gourd,Local,04/04/25,1000.05,1333.4,1000.05
Assam,Darrang,Banglagarh,Brinjal,Brinjal,Local,04/04/25,1000,1500,1200
Assam,Darrang,Banglagarh,Lemon,Lemon,Local,04/04/25,2001,2334.5,2134.4
Assam,Darrang,Banglagarh,Tomato,Tomato,Local,04/04/25,400,500,500
Assam,Dhubri,Chapar,Bhindi(Ladies Finger),Bhindi,Local,04/04/25,2000,2400,2000
Assam,Dhubri,Chapar,Lemon,Lemon,Local,04/04/25,2334.5,2668,2534.6
Assam,Goalpara,Lakhipur,Green Chilli,Green Chilly,Local,04/04/25,2000,2400,2400
Assam,Jorhat,Jorhat,Cabbage,Cabbage,Local,04/04/25,600,800,800
Assam,Kamrup,Brahmaputra Private Market,Cauliflower,Cauliflower,Local,04/04/25,1300,1400,1300
Assam,Kamrup,Pamohi(Garchuk),Cabbage,Cabbage,Local,04/04/25,700,800,700
Assam,Karbi Anglong,Manja,Capsicum,Capsicum,Local,04/04/25,1800,2000,2000
Assam,Karbi Anglong,Manja,Lemon,Lemon,Local,04/04/25,3335,3668.5,3668.5
Assam,Kokrajhar,Balajan Tiniali,Bhindi(Ladies Finger),Bhindi,Local,04/04/25,2500,3000,3000
Assam,Kokrajhar,Balajan Tiniali,Cauliflower,Cauliflower,Local,04/04/25,1500,1600,1600
Assam,Kokrajhar,Balajan Tiniali,Green Chilli,Green Chilly,Local,04/04/25,3000,3500,3500
Assam,MORIGAON,Jagiroad Dry Fish Market,Ginger(Green),Green Ginger,Local,04/04/25,3500,4000,3800
Assam,MORIGAON,Jagiroad Dry Fish Market,Lemon,Lemon,Local,04/04/25,2001,2267.8,2134.4
Assam,MORIGAON,Jagiroad Dry Fish Market,Pumpkin,Pumpkin,Local,04/04/25,700,900,800
Assam,Nalbari,Nalbari,Banana,Besrai,Local,04/04/25,1000,1400,1200
Assam,Nalbari,Nalbari,Brinjal,Brinjal,Local,04/04/25,1800,2400,2000
Assam,Sibsagar,Sonari,Cauliflower,Cauliflower,Local,04/04/25,900,1200,1100
Assam,Sibsagar,Sonari,Green Chilli,Green Chilly,Local,04/04/25,3200,3500,3300
Assam,Sibsagar,Sonari,Tomato,Tomato,Local,04/04/25,1000,1300,1200
Assam,Sonitpur,Dhekiajuli,Bottle gourd,Bottle Gourd,Local,04/04/25,666.7,1000.05,1000.05
Assam,Sonitpur,Dhekiajuli,Potato,Potato,Local,04/04/25,800,900,900
Bihar,Jamui,Jamui,Onion,Medium,FAQ,04/04/25,2100,2300,2200
